Vehicle_ID	Powertrain	Gearbox	ADAS	Year	Model	MFC_CarID	Max_Power_HP	Max_Power_KW	Max_Torque_Nm	Mass_kg
VEHICLE_1	ICES	Automatic	Yes	2022	VW Scharan / SEAT Alhambra II BJ 2022	6378	150	111.855	340	1800
VEHICLE_2	Electric	Automatic	No	2022	Toyota BZ 4 X 2022	47844	218	162.5626	266	1920
VEHICLE_3	ICES	Manual	No	2015	Renault	40595	150	111.855	340	1633
VEHICLE_4	ICES	Automatic	No	2017	VW Scharan 1.4 TSI BJ 2017	6378	150	111.855	250	1790
VEHICLE_5	ICES	Automatic	No	2014	Renault Laguna III BJ 2014	6386	150	111.855	340	1630
VEHICLE_6	ICES	Automatic	No	2015	Toyota Verso 2.2 D-4D BJ 2015	34092	177	131.9889	400	1530
VEHICLE_7	ICES	Manual	No	2015	Citroen Picasso C3 1.6 VTi 120 EGS6 2015	7979	120	89.484	160	1310
VEHICLE_8	ICES	Manual	No	2018	Ford Focus NA3, Bj 2018	34058	150	111.855	240	1360
VEHICLE_9	ICES	Automatic	Yes	2019	VW Caddy Maxi, 1.4 TSI Jg. 2019	34202	125	93.2125	200	1450
VEHICLE_10	ICES	Automatic	Yes	2021	Polestar 1, Rennversion von volvo mit 2lt Benzinmotor 2021	9551	600	447.42	1000	2350
VEHICLE_11	ICES	Manual	No	2012	VW Caddy 2K 2012 1.2 TSI	40516	86	64.1302	160	1450
VEHICLE_12	ICES	Manual	No	2015	Peugeot RCZ R 2015	18831	270	201.339	330	1340
VEHICLE_13	Electric	Automatic	Yes	2014	VW Golf, Thomas Huber, Gold VII Typ AU 2014	47844	115	85.7555	270	1240
VEHICLE_14	ICES	Automatic	Yes	2016	Audi A4 2.0 TDI DSG 2016 TCS	26851	190	141.683	400	1480
